"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"33","112.93027333044502","156.35610061086055","0.018310546875","0.029541015625","0.007080078125","1560","0.00032024362911636903","24","0.00032024362911636903","0","0.00032024362911636903","0.00032024362911636903","39:68;32:68;34:68","39:0.001889214177012044;34:0.0023655212248834268","39:0.0032825873207096012;34:0.0028977510545271645","0.018310546875","Yes"
"34","162.52308593172478","94.01377664235918","0.0111083984375","0.01025390625","0.011962890625","1560","0.000553846929661673","24","0.000553846929661673","0","0.000553846929661673","0.000553846929661673","33:68;35:68","33:0.0023655212248834268;35:0.001653610325218019","33:0.0028977510545271645;35:0.0021891176689431413","0.0111083984375","Yes"
"35","162.9483114562027","44.91778158784244","0.0179443359375","0.019775390625","0.01611328125","1560","0.0002501746633516172","24","0.0002501746633516172","0","0.0002501746633516172","0.0002501746633516172","19:68;34:68","19:0.0023468392349149103;34:0.001653610325218019","19:0.0019781603967990447;34:0.0021891176689431413","0.0179443359375","Yes"
"36","173.79263637241965","147.47018119303166","0.0059814453125","0.0087890625","0.003173828125","1560","0.0007551087352328066","24","0.0007551087352328066","0","0.0007551087352328066","0.0007551087352328066","41:68;21:68","41:0.0022417845217884425;21:0.006830447012642182","41:0.002076440592108625;21:0.004857626044308921","0.0059814453125","Yes"
"37","146.24334409870556","120.51202025684394","0.013671875","0.014404296875","0.012939453125","1560","0.0002493259844857361","24","0.0002493259844857361","0","0.0002493259844857361","0.0002493259844857361","45:68;25:68","45:0.00201139332983169;25:0.00201630666163502","45:0.0017242405139621664;25:0.0017140242188501964","0.013671875","Yes"
"38","18.953728480303276","24.679389199654832","0.0108642578125","0.013671875","0.008056640625","1560","0.00044919217166594367","24","0.00044919217166594367","0","0.00044919217166594367","0.00044919217166594367","29:68;49:68","29:0.0021424665027657275;49:0.002868283730518867","29:0.0019685894793541325;49:0.0024169099667123717","0.0108642578125","Yes"
"39","139.980711146124","176.04612399561577","0.015625","0.02294921875","0.00830078125","1560","0.0005254944446198096","24","0.0005254944446198096","0","0.0005254944446198096","0.0005254944446198096","53:68;33:68","53:0.006969627756701929;33:0.001889214177012044","53:0.005107404423581707;33:0.0032825873207096012","0.015625","Yes"
"40","142.18904409588438","57.74262370482737","0.023193359375","0.02392578125","0.0224609375","1560","0.0005293617742050741","24","0.0005293617742050741","0","0.0005293617742050741","0.0005293617742050741","41:68","41:0.002323705262733511","41:0.0034562400484066114","0.023193359375","Yes"
"41","219.33041062962272","155.51387593690194","0.1107177734375","0.10498046875","0.116455078125","1560","0.0001379889390809993","24","0.0001379889390809993","0","0.0001379889390809993","0.0001379889390809993","40:68;42:68;36:68","40:0.002323705262733511;42:0.0031183569374321207;36:0.0022417845217884425","40:0.0034562400484066114;42:0.002533861339114457;36:0.002076440592108625","0.1107177734375","Yes"
"42","68.89960033069009","29.44561624739248","0.009033203125","0.013916015625","0.004150390625","1560","0.0003706157305414823","24","0.0003706157305414823","0","0.0003706157305414823","0.0003706157305414823","41:68;43:68","41:0.0031183569374321207;43:0.0059430970555686136","41:0.002533861339114457;43:0.007482545105149174","0.009033203125","Yes"
